FEN,Evaluation,eval,
rnbqk1nr/pp1p1ppp/1b2p3/8/4P3/1NN5/PPP2PPP/R1BQKB1R b KQkq - 4 6,30,0.12,
rnbqk2r/pp1pnppp/1b2p3/8/4P3/1NN5/PPP2PPP/R1BQKB1R w KQkq - 5 7,62,0.248,
rnbqk2r/pp1pnppp/1b2p3/8/4PB2/1NN5/PPP2PPP/R2QKB1R b KQkq - 6 7,0,0,
rnbq1rk1/pp1pnppp/1b2p3/8/4PB2/1NN5/PPP2PPP/R2QKB1R w KQ - 7 8,125,0.5,
rnbq1rk1/pp1pnppp/1b1Bp3/8/4P3/1NN5/PPP2PPP/R2QKB1R b KQ - 8 8,104,0.416,
r1bq1rk1/pp1pnppp/1bnBp3/8/4P3/1NN5/PPP2PPP/R2QKB1R w KQ - 9 9,161,0.644,
r1bq1rk1/pp1pnppp/1bnBp3/8/4P3/1NN5/PPP1BPPP/R2QK2R b KQ - 10 9,19,0.076,
r1bq1rk1/pp1pn1pp/1bnBp3/5p2/4P3/1NN5/PPP1BPPP/R2QK2R w KQ - 0 10,66,0.264,
r1bq1rk1/pp1pn1pp/1bnBp3/5p2/4P3/1NN5/PPP1BPPP/R2Q1RK1 b - - 1 10,2,0.008,
r1bq1rk1/pp1pn1pp/1bnBp3/8/4Pp2/1NN5/PPP1BPPP/R2Q1RK1 w - - 0 11,124,0.496,
r1bq1rk1/pp1pn1pp/1bnBp3/8/4Pp2/1NN5/PPPQBPPP/R4RK1 b - - 1 11,33,0.132,
r1bq1rk1/ppbpn1pp/2nBp3/8/4Pp2/1NN5/PPPQBPPP/R4RK1 w - - 2 12,94,0.376,
r1bq1rk1/ppbpn1pp/2nBp3/1N6/4Pp2/1N6/PPPQBPPP/R4RK1 b - - 3 12,25,0.1,
r1bq1rk1/pp1pn1pp/2nbp3/1N6/4Pp2/1N6/PPPQBPPP/R4RK1 w - - 0 13,72,0.288,
r1bq1rk1/pp1pn1pp/2nNp3/8/4Pp2/1N6/PPPQBPPP/R4RK1 b - - 0 13,30,0.12,
r1bq1rk1/pp1p2pp/2nNp1n1/8/4Pp2/1N6/PPPQBPPP/R4RK1 w - - 1 14,107,0.428,
r1bq1rk1/pp1p2pp/2nNp1n1/8/4Pp2/1N3P2/PPPQB1PP/R4RK1 b - - 0 14,43,0.172,
r1bq1rk1/pp1p2pp/3Np1n1/4n3/4Pp2/1N3P2/PPPQB1PP/R4RK1 w - - 1 15,89,0.356,
r1bq1rk1/pp1p2pp/3Np1n1/4n3/4Pp2/1N3P2/PPPQB1PP/R4R1K b - - 2 15,51,0.204,
r1b2rk1/pp1p2pp/3Np1n1/4n1q1/4Pp2/1N3P2/PPPQB1PP/R4R1K w - - 3 16,84,0.336,
r1b2rk1/pp1p2pp/3Np1n1/4n1q1/4Pp2/1N3P2/PPPQBRPP/R6K b - - 4 16,6,0.024,
r1b3k1/pp1p2pp/3Nprn1/4n1q1/4Pp2/1N3P2/PPPQBRPP/R6K w - - 5 17,78,0.312,
r1b3k1/pp1p2pp/3Nprn1/4n1q1/4Pp2/1NQ2P2/PPP1BRPP/R6K b - - 6 17,35,0.14,
r1b3k1/pp1p2pp/2nNprn1/6q1/4Pp2/1NQ2P2/PPP1BRPP/R6K w - - 7 18,134,0.536,
r1b3k1/pp1p2pp/2nNprn1/6q1/4Pp2/1NQ2P2/PPP1BRPP/3R3K b - - 8 18,99,0.396,
r1b3k1/pp1p2pp/2nNpr2/4n1q1/4Pp2/1NQ2P2/PPP1BRPP/3R3K w - - 9 19,160,0.64,
r1b3k1/pp1p2pp/2nNpr2/4n1q1/4Pp2/1NQ2P2/PPP2RPP/3R1B1K b - - 10 19,122,0.488,
r1b3k1/pp1p2pp/2nNp2r/4n1q1/4Pp2/1NQ2P2/PPP2RPP/3R1B1K w - - 11 20,172,0.688,
r1b3k1/pp1p2pp/2nNp2r/4n1q1/4Pp2/1N3P2/PPP2RPP/3RQB1K b - - 12 20,19,0.076,
r1b3k1/p2p2pp/1pnNp2r/4n1q1/4Pp2/1N3P2/PPP2RPP/3RQB1K w - - 0 21,77,0.308,
r1b3k1/p2p2pp/1pnNp2r/4n1q1/4Pp2/1N3P2/PPPR2PP/3RQB1K b - - 1 21,-96,-0.384,
1rb3k1/p2p2pp/1pnNp2r/4n1q1/4Pp2/1N3P2/PPPR2PP/3RQB1K w - - 2 22,95,0.38,
1rb3k1/p2p2pp/1pnNp2r/4n1q1/4Pp2/1N3P2/PPPR1QPP/3R1B1K b - - 3 22,0,0,
1r4k1/pb1p2pp/1pnNp2r/4n1q1/4Pp2/1N3P2/PPPR1QPP/3R1B1K w - - 4 23,71,0.284,
1r4k1/pb1p2pp/1pnNp2r/4n1q1/3NPp2/5P2/PPPR1QPP/3R1B1K b - - 5 23,34,0.136,
br4k1/p2p2pp/1pnNp2r/4n1q1/3NPp2/5P2/PPPR1QPP/3R1B1K w - - 6 24,100,0.4,
br4k1/p2p2pp/1pnNp2r/4n1q1/P2NPp2/5P2/1PPR1QPP/3R1B1K b - - 0 24,57,0.228,
b4rk1/p2p2pp/1pnNp2r/4n1q1/P2NPp2/5P2/1PPR1QPP/3R1B1K w - - 1 25,114,0.456,
b4rk1/p2p2pp/1pNNp2r/4n1q1/P3Pp2/5P2/1PPR1QPP/3R1B1K b - - 0 25,128,0.512,
5rk1/p2p2pp/1pbNp2r/4n1q1/P3Pp2/5P2/1PPR1QPP/3R1B1K w - - 0 26,123,0.492,
5rk1/p2p2pp/1pbNp2r/1B2n1q1/P3Pp2/5P2/1PPR1QPP/3R3K b - - 1 26,-101,-0.404,
5rk1/p2p2pp/1pbNp2r/1B2n2q/P3Pp2/5P2/1PPR1QPP/3R3K w - - 2 27,-54,-0.216,
5rk1/p2p2pp/1pbNp2r/1B2n2q/P3Pp2/5P1P/1PPR1QP1/3R3K b - - 0 27,-60,-0.24,
5rk1/p2p2pp/1p1Np2r/1b2n2q/P3Pp2/5P1P/1PPR1QP1/3R3K w - - 0 28,0,0,
5rk1/p2p2pp/1p1Np2r/1P2n2q/4Pp2/5P1P/1PPR1QP1/3R3K b - - 0 28,-50,-0.2,
6k1/p2p2pp/1p1Npr1r/1P2n2q/4Pp2/5P1P/1PPR1QP1/3R3K w - - 1 29,127,0.508,
6k1/p2p2pp/1p1Npr1r/1P2n2q/4Pp2/5P1P/1PPR1QP1/R6K b - - 2 29,13,0.052,
6k1/p2p2pp/1p1Nprr1/1P2n2q/4Pp2/5P1P/1PPR1QP1/R6K w - - 3 30,81,0.324,
6k1/R2p2pp/1p1Nprr1/1P2n2q/4Pp2/5P1P/1PPR1QP1/7K b - - 0 30,7,0.028,
6k1/R2p2p1/1p1Nprrp/1P2n2q/4Pp2/5P1P/1PPR1QP1/7K w - - 0 31,170,0.68,
6k1/R2p2p1/1p1Nprrp/1P2n2q/4Pp2/5P1P/1PPR2P1/5Q1K b - - 1 31,-89,-0.356,
6k1/R2p2p1/1p1Npr1p/1P2n2q/4Pp2/5PrP/1PPR2P1/5Q1K w - - 2 32,137,0.548,
6k1/R2p2p1/1p1Npr1p/1P2n2q/4Pp2/5PrP/1PP2RP1/5Q1K b - - 3 32,72,0.288,
6k1/R2p2p1/1p1Np1rp/1P2n2q/4Pp2/5PrP/1PP2RP1/5Q1K w - - 4 33,40,0.16,
6k1/3p2p1/1p1Np1rp/1P2n2q/4Pp2/R4PrP/1PP2RP1/5Q1K b - - 5 33,0,0,
6k1/3p2p1/1p1Np2p/1P2n1rq/4Pp2/R4PrP/1PP2RP1/5Q1K w - - 6 34,231,0.924,
6k1/3p2p1/1p1Np2p/1P2n1rq/2P1Pp2/R4PrP/1P3RP1/5Q1K b - - 0 34,0,0,
6k1/3p2p1/1p1Np2p/1P2n1r1/2P1Pp1q/R4PrP/1P3RP1/5Q1K w - - 1 35,626,2.504,
6k1/3p2p1/1p1Np2p/1P2n1r1/2P1Pp1q/2R2PrP/1P3RP1/5Q1K b - - 2 35,38,0.152,
6k1/3p2p1/1p1Np1np/1P4r1/2P1Pp1q/2R2PrP/1P3RP1/5Q1K w - - 3 36,178,0.712,
6k1/3p2p1/1p1Np1np/1P2P1r1/2P2p1q/2R2PrP/1P3RP1/5Q1K b - - 0 36,181,0.724,
6k1/3p2p1/1p1Np2p/1P2n1r1/2P2p1q/2R2PrP/1P3RP1/5Q1K w - - 0 37,388,1.552,
6k1/3p2p1/1p2p2p/1P2n1r1/2P1Np1q/2R2PrP/1P3RP1/5Q1K b - - 1 37,302,1.208,
6k1/3p2p1/1p2p2p/1P2n1r1/2P1Np1q/2R2P1P/1P3Rr1/5Q1K w - - 0 38,684,2.736,
6k1/3p2p1/1p2p2p/1P2n1r1/2P1Np1q/2R2P1P/1P4R1/5Q1K b - - 0 38,752,3.008,
6k1/3p2p1/1p2p2p/1P2n1r1/2P1Np2/2R2P1q/1P4R1/5Q1K w - - 0 39,727,2.908,
6k1/3p2p1/1p2p2p/1P2n1r1/2P1Np2/2R2P1q/1P4R1/5QK1 b - - 1 39,806,3.224,
6k1/3p2p1/1p2p2p/1P2n2r/2P1Np2/2R2P1q/1P4R1/5QK1 w - - 2 40,1083,4.332,
rnbqkbnr/pp1ppp1p/6p1/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,73,0.292,
rnbqkbnr/pp1ppp1p/6p1/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,0,0,
rnbqk1nr/pp1pppbp/6p1/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 4,89,0.356,
rnbqk1nr/pp1pppbp/6p1/2P5/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,-23,-0.092,
rnb1k1nr/pp1pppbp/6p1/q1P5/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 5,49,0.196,
rnb1k1nr/pp1pppbp/6p1/q1P5/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 2 5,-11,-0.044,
rnb1k2r/pp1pppbp/5np1/q1P5/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 3 6,99,0.396,
rnb1k2r/pp1pppbp/5np1/q1P5/4P3/2NB1N2/PPP2PPP/R1BQK2R b KQkq - 4 6,16,0.064,
rnb1k2r/pp1pppbp/5np1/2q5/4P3/2NB1N2/PPP2PPP/R1BQK2R w KQkq - 0 7,58,0.232,
rnb1k2r/pp1pppbp/5np1/2q5/4P3/2NB1N2/PPP2PPP/R1BQ1RK1 b kq - 1 7,14,0.056,
rnb1k2r/pp2ppbp/3p1np1/2q5/4P3/2NB1N2/PPP2PPP/R1BQ1RK1 w kq - 0 8,58,0.232,
rnb1k2r/pp2ppbp/3p1np1/2q5/4P3/2NBBN2/PPP2PPP/R2Q1RK1 b kq - 1 8,-12,-0.048,
rnb1k2r/pp2ppbp/3p1np1/q7/4P3/2NBBN2/PPP2PPP/R2Q1RK1 w kq - 2 9,79,0.316,
rnb1k2r/pp2ppbp/3p1np1/q7/4P3/2NBBN2/PPPQ1PPP/R4RK1 b kq - 3 9,4,0.016,
r1b1k2r/pp2ppbp/2np1np1/q7/4P3/2NBBN2/PPPQ1PPP/R4RK1 w kq - 4 10,74,0.296,
r1b1k2r/pp2ppbp/2np1npB/q7/4P3/2NB1N2/PPPQ1PPP/R4RK1 b kq - 5 10,-34,-0.136,
r1b2rk1/pp2ppbp/2np1npB/q7/4P3/2NB1N2/PPPQ1PPP/R4RK1 w - - 6 11,0,0,
r1b2rk1/pp2ppBp/2np1np1/q7/4P3/2NB1N2/PPPQ1PPP/R4RK1 b - - 0 11,-54,-0.216,
r1b2r2/pp2ppkp/2np1np1/q7/4P3/2NB1N2/PPPQ1PPP/R4RK1 w - - 0 12,0,0,
r1b2r2/pp2ppkp/2np1np1/q2N4/4P3/3B1N2/PPPQ1PPP/R4RK1 b - - 1 12,-58,-0.232,
r1b2r2/pp2ppkp/2np1np1/3N4/4P3/3B1N2/PPPq1PPP/R4RK1 w - - 0 13,-15,-0.06,
r1b2r2/pp2ppkp/2np1np1/3N4/4P3/3B4/PPPN1PPP/R4RK1 b - - 0 13,-34,-0.136,
r4r2/pp2ppkp/2npbnp1/3N4/4P3/3B4/PPPN1PPP/R4RK1 w - - 1 14,-15,-0.06,
r4r2/ppN1ppkp/2npbnp1/8/4P3/3B4/PPPN1PPP/R4RK1 b - - 2 14,-51,-0.204,
2r2r2/ppN1ppkp/2npbnp1/8/4P3/3B4/PPPN1PPP/R4RK1 w - - 3 15,4,0.016,
2r2r2/pp2ppkp/2npNnp1/8/4P3/3B4/PPPN1PPP/R4RK1 b - - 0 15,-56,-0.224,
2r2r2/pp2p1kp/2nppnp1/8/4P3/3B4/PPPN1PPP/R4RK1 w - - 0 16,15,0.06,
2r2r2/pp2p1kp/2nppnp1/8/4P3/2PB4/PP1N1PPP/R4RK1 b - - 0 16,-40,-0.16,
2r2r2/pp2p1kp/2np1np1/4p3/4P3/2PB4/PP1N1PPP/R4RK1 w - - 0 17,59,0.236,
2r2r2/pp2p1kp/2np1np1/4p3/4P3/2PB4/PP1N1PPP/R3R1K1 b - - 1 17,0,0,
2rn1r2/pp2p1kp/3p1np1/4p3/4P3/2PB4/PP1N1PPP/R3R1K1 w - - 2 18,73,0.292,
2rn1r2/pp2p1kp/3p1np1/4p3/2B1P3/2P5/PP1N1PPP/R3R1K1 b - - 3 18,-30,-0.12,
2rn1r2/pp1np1kp/3p2p1/4p3/2B1P3/2P5/PP1N1PPP/R3R1K1 w - - 4 19,57,0.228,
2rn1r2/pp1np1kp/3p2p1/4p3/2B1P3/2P2P2/PP1N2PP/R3R1K1 b - - 0 19,0,0,
2rn1r2/pp2p1kp/3p2p1/2n1p3/2B1P3/2P2P2/PP1N2PP/R3R1K1 w - - 1 20,67,0.268,
2rn1r2/pp2p1kp/3p2p1/2n1p3/2B1P3/2P2P2/PP1N2PP/R2R2K1 b - - 2 20,-9,-0.036,
2rn1r2/pp2p1k1/3p2p1/2n1p2p/2B1P3/2P2P2/PP1N2PP/R2R2K1 w - - 0 21,27,0.108,
2rn1r2/pp2p1k1/3p2p1/2n1p2p/2B1P2P/2P2P2/PP1N2P1/R2R2K1 b - - 0 21,-25,-0.1,
2rn1r2/pp2p1k1/3p4/2n1p1pp/2B1P2P/2P2P2/PP1N2P1/R2R2K1 w - - 0 22,0,0,
2rn1r2/pp2p1k1/3p4/2n1p1Pp/2B1P3/2P2P2/PP1N2P1/R2R2K1 b - - 0 22,-32,-0.128,
2rn1r2/pp2p3/3p2k1/2n1p1Pp/2B1P3/2P2P2/PP1N2P1/R2R2K1 w - - 1 23,104,0.416,
2rn1r2/pp2p3/3p2k1/2n1p1Pp/2B1P3/2P2PP1/PP1N4/R2R2K1 b - - 0 23,0,0,
2rn1r2/pp2p3/3p4/2n1p1kp/2B1P3/2P2PP1/PP1N4/R2R2K1 w - - 0 24,45,0.18,
2rn1r2/pp2p3/3p4/2n1p1kp/2B1P3/2P2PP1/PP1N1K2/R2R4 b - - 1 24,0,0,
2rn1r2/pp2p3/3p2k1/2n1p2p/2B1P3/2P2PP1/PP1N1K2/R2R4 w - - 2 25,130,0.52,
2rn1r2/pp2p3/3p2k1/2n1p2p/2B1P3/2P1KPP1/PP1N4/R2R4 b - - 3 25,68,0.272,
2rn1r2/pp6/3pp1k1/2n1p2p/2B1P3/2P1KPP1/PP1N4/R2R4 w - - 0 26,129,0.516,
2rn1r2/pp6/3pp1k1/2n1p2p/2B1P3/2P1KPP1/PP1N4/R6R b - - 1 26,71,0.284,
2rn1r2/pp1n4/3pp1k1/4p2p/2B1P3/2P1KPP1/PP1N4/R6R w - - 2 27,145,0.58,
2rn1r2/pp1n4/3pp1k1/4p2p/4P3/2P1KPP1/PP1N4/R4B1R b - - 3 27,42,0.168,
2rn1r2/pp6/3ppnk1/4p2p/4P3/2P1KPP1/PP1N4/R4B1R w - - 4 28,100,0.4,
2rn1r2/pp6/3ppnk1/4p2p/4P3/2P1KPPB/PP1N4/R6R b - - 5 28,12,0.048,
3n1r2/ppr5/3ppnk1/4p2p/4P3/2P1KPPB/PP1N4/R6R w - - 6 29,84,0.336,
3n1r2/ppr5/3ppnk1/4p2p/4P3/2P1KPPB/PP1N4/5R1R b - - 7 29,39,0.156,
3n1r2/ppr5/4pnk1/3pp2p/4P3/2P1KPPB/PP1N4/5R1R w - - 0 30,57,0.228,
3n1r2/ppr5/4pnk1/3pp2p/4PP2/2P1K1PB/PP1N4/5R1R b - - 0 30,28,0.112,
3n1r2/ppr5/4pnk1/3p3p/4Pp2/2P1K1PB/PP1N4/5R1R w - - 0 31,72,0.288,
3n1r2/ppr5/4pnk1/3p3p/4PR2/2P1K1PB/PP1N4/7R b - - 0 31,26,0.104,
3n1r2/ppr5/4pnk1/7p/4pR2/2P1K1PB/PP1N4/7R w - - 0 32,38,0.152,
3n1r2/ppr5/4pnk1/7p/4pR2/2P3PB/PP1NK3/7R b - - 1 32,43,0.172,
3n1r2/ppr5/5nk1/4p2p/4pR2/2P3PB/PP1NK3/7R w - - 0 33,121,0.484,
3n1r2/ppr5/5nk1/4p2p/4p3/2P3PB/PP1NKR2/7R b - - 1 33,30,0.12,
5r2/ppr2n2/5nk1/4p2p/4p3/2P3PB/PP1NKR2/7R w - - 2 34,85,0.34,
5r2/ppr2n2/5nk1/4pB1p/4p3/2P3P1/PP1NKR2/7R b - - 3 34,68,0.272,
5r2/ppr2n2/5n1k/4pB1p/4p3/2P3P1/PP1NKR2/7R w - - 4 35,206,0.824,
5r2/ppr2n2/5n1k/4pB1p/4N3/2P3P1/PP2KR2/7R b - - 0 35,185,0.74,
5r2/ppr5/5n1k/4pBnp/4N3/2P3P1/PP2KR2/7R w - - 1 36,287,1.148,
5r2/ppr5/5N1k/4pBnp/8/2P3P1/PP2KR2/7R b - - 0 36,242,0.968,
8/ppr5/5r1k/4pBnp/8/2P3P1/PP2KR2/7R w - - 0 37,258,1.032,
8/ppr5/5r1k/4pBnp/6P1/2P5/PP2KR2/7R b - - 0 37,238,0.952,
8/ppr2n2/5r1k/4pB1p/6P1/2P5/PP2KR2/7R w - - 1 38,261,1.044,
8/ppr2n2/5r1k/4pB1R/6P1/2P5/PP2KR2/8 b - - 0 38,248,0.992,
8/ppr2nk1/5r2/4pB1R/6P1/2P5/PP2KR2/8 w - - 1 39,269,1.076,
8/ppr2nkR/5r2/4pB2/6P1/2P5/PP2KR2/8 b - - 2 39,198,0.792,
6k1/ppr2n1R/5r2/4pB2/6P1/2P5/PP2KR2/8 w - - 3 40,226,0.904,
6k1/ppr2n1R/5r2/4p3/4B1P1/2P5/PP2KR2/8 b - - 4 40,210,0.84,
6k1/ppr2n1R/8/4p3/4B1P1/2P5/PP2Kr2/8 w - - 0 41,244,0.976,
6k1/ppr2n1R/8/4p3/4B1P1/2P5/PP3K2/8 b - - 0 41,237,0.948,
6k1/pp3n1R/8/4p3/2r1B1P1/2P5/PP3K2/8 w - - 1 42,394,1.576,
6k1/pp3R2/8/4p3/2r1B1P1/2P5/PP3K2/8 b - - 0 42,354,1.416,
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 w kq - 0 8,51,0.204,
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N2/PP1P1PPP/RNBQR1K1 b kq - 0 8,12,0.048,
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N2/PP1P1PPP/RNBQR1K1 w - - 1 9,65,0.26,
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N1P/PP1P1PP1/RNBQR1K1 b - - 0 9,13,0.052,
r1bq1rk1/2pnbppp/p1np4/1p2p3/4P3/1BP2N1P/PP1P1PP1/RNBQR1K1 w - - 1 10,100,0.4,
r1bq1rk1/2pnbppp/p1np4/1p2p3/3PP3/1BP2N1P/PP3PP1/RNBQR1K1 b - - 0 10,15,0.06,
r1bq1rk1/2pn1ppp/p1np1b2/1p2p3/3PP3/1BP2N1P/PP3PP1/RNBQR1K1 w - - 1 11,107,0.428,
r1bq1rk1/2pn1ppp/p1np1b2/1p2p3/P2PP3/1BP2N1P/1P3PP1/RNBQR1K1 b - - 0 11,42,0.168,
r2q1rk1/1bpn1ppp/p1np1b2/1p2p3/P2PP3/1BP2N1P/1P3PP1/RNBQR1K1 w - - 1 12,108,0.432,
r2q1rk1/1bpn1ppp/p1np1b2/1p2p3/P2PP3/NBP2N1P/1P3PP1/R1BQR1K1 b - - 2 12,27,0.108,
r2q1rk1/1bpn1ppp/p1np1b2/1p6/P2pP3/NBP2N1P/1P3PP1/R1BQR1K1 w - - 0 13,64,0.256,
r2q1rk1/1bpn1ppp/p1np1b2/1p6/P2PP3/NB3N1P/1P3PP1/R1BQR1K1 b - - 0 13,23,0.092,
r2qr1k1/1bpn1ppp/p1np1b2/1p6/P2PP3/NB3N1P/1P3PP1/R1BQR1K1 w - - 1 14,89,0.356,
r2qr1k1/1bpn1ppp/p1np1b2/1p6/P2PP3/NB3N1P/1P1Q1PP1/R1B1R1K1 b - - 2 14,-32,-0.128,
r2q2k1/1bpnrppp/p1np1b2/1p6/P2PP3/NB3N1P/1P1Q1PP1/R1B1R1K1 w - - 3 15,82,0.328,
r2q2k1/1bpnrppp/p1np1b2/1p6/P2PP3/N4N1P/1PBQ1PP1/R1B1R1K1 b - - 4 15,0,0,
r3q1k1/1bpnrppp/p1np1b2/1p6/P2PP3/N4N1P/1PBQ1PP1/R1B1R1K1 w - - 5 16,122,0.488,
r3q1k1/1bpnrppp/p1np1b2/1p6/P2PP3/NP3N1P/2BQ1PP1/R1B1R1K1 b - - 0 16,-157,-0.628,
r3q1k1/1bpnrppp/p1np1b2/8/p2PP3/NP3N1P/2BQ1PP1/R1B1R1K1 w - - 0 17,22,0.088,
r3q1k1/1bpnrppp/p1np1b2/8/P2PP3/N4N1P/2BQ1PP1/R1B1R1K1 b - - 0 17,0,0,
r3q1k1/1bpnrppp/2np1b2/p7/P2PP3/N4N1P/2BQ1PP1/R1B1R1K1 w - - 0 18,31,0.124,
r3q1k1/1bpnrppp/2np1b2/p7/P2PP3/N4N1P/3Q1PP1/RBB1R1K1 b - - 1 18,-107,-0.428,
r3q1k1/1bp1rppp/2np1b2/p1n5/P2PP3/N4N1P/3Q1PP1/RBB1R1K1 w - - 2 19,-78,-0.312,
r3q1k1/1bp1rppp/2np1b2/p1n1P3/P2P4/N4N1P/3Q1PP1/RBB1R1K1 b - - 0 19,-183,-0.732,
r3q1k1/1bp1rppp/2n2b2/p1n1p3/P2P4/N4N1P/3Q1PP1/RBB1R1K1 w - - 0 20,-187,-0.748,
r3q1k1/1bp1rppp/2n2b2/p1n1p3/P2P4/N4N1P/2Q2PP1/RBB1R1K1 b - - 1 20,-277,-1.108,
r3q1k1/1bp1rppp/2n2b2/p1n5/P2Pp3/N4N1P/2Q2PP1/RBB1R1K1 w - - 0 21,-251,-1.004,
r3q1k1/1bp1rppp/2n2b2/p1n3B1/P2Pp3/N4N1P/2Q2PP1/RB2R1K1 b - - 1 21,-227,-0.908,
r3q1k1/1bp1rppp/2n5/p1n3b1/P2Pp3/N4N1P/2Q2PP1/RB2R1K1 w - - 0 22,-316,-1.264,
r3q1k1/1bp1rppp/2n5/p1n3N1/P2Pp3/N6P/2Q2PP1/RB2R1K1 b - - 0 22,-366,-1.464,
r3q1k1/1bp1rppp/2n5/p5N1/P2Pp3/N2n3P/2Q2PP1/RB2R1K1 w - - 1 23,-261,-1.044,
r3q1k1/1bp1rppp/2n5/p5N1/P2PR3/N2n3P/2Q2PP1/RB4K1 b - - 0 23,-313,-1.252,
r3q1k1/1bp2ppp/2n5/p5N1/P2Pr3/N2n3P/2Q2PP1/RB4K1 w - - 0 24,-269,-1.076,
r3q1k1/1bp2ppp/2n5/p5N1/P2Pr3/N2Q3P/5PP1/RB4K1 b - - 0 24,-319,-1.276,
r3q1k1/1bp2ppp/2n5/p5N1/P2P4/N2Q3P/5PP1/RB2r1K1 w - - 1 25,-238,-0.952,
r3q1k1/1bp2ppp/2n5/p5N1/P2P4/N2Q3P/5PPK/RB2r3 b - - 2 25,-302,-1.208,
r3q1k1/1bp2p1p/2n3p1/p5N1/P2P4/N2Q3P/5PPK/RB2r3 w - - 0 26,-230,-0.92,
r3q1k1/1bp2p1p/2n3p1/p5N1/P2P4/N2Q3P/B4PPK/R3r3 b - - 1 26,-267,-1.068,
r3q1k1/1bp1rp1p/2n3p1/p5N1/P2P4/N2Q3P/B4PPK/R7 w - - 2 27,-239,-0.956,
r3q1k1/1bp1rp1p/2n3p1/p5N1/P2P4/N2Q3P/B4PPK/4R3 b - - 3 27,-291,-1.164,
r2nq1k1/1bp1rp1p/6p1/p5N1/P2P4/N2Q3P/B4PPK/4R3 w - - 4 28,-267,-1.068,
r2nq1k1/1bp1rp1p/6p1/p5N1/P2P4/N2Q3P/B4PPK/1R6 b - - 5 28,-290,-1.16,
r2n2k1/1bp1rp1p/2q3p1/p5N1/P2P4/N2Q3P/B4PPK/1R6 w - - 6 29,-214,-0.856,
r2n2k1/1bp1rp1p/2q3p1/p2P2N1/P7/N2Q3P/B4PPK/1R6 b - - 0 29,-277,-1.108,
r2n2k1/1bp1rp1p/3q2p1/p2P2N1/P7/N2Q3P/B4PPK/1R6 w - - 1 30,-199,-0.796,
r2n2k1/1bp1rp1p/3q2p1/p2P2N1/P7/N2Q3P/B4PP1/1R4K1 b - - 2 30,-327,-1.308,
r2n2k1/1bp1rp1p/6p1/p2P2N1/P4q2/N2Q3P/B4PP1/1R4K1 w - - 3 31,-219,-0.876,
r2n2k1/1bp1rp1p/6p1/p2P2N1/P4q1P/N2Q4/B4PP1/1R4K1 b - - 0 31,-389,-1.556,
r2n2k1/1bp1rp1p/6p1/p2P2N1/P6q/N2Q4/B4PP1/1R4K1 w - - 0 32,-378,-1.512,
r2n2k1/1bp1rp1p/6p1/p2P2N1/P6q/N7/B2Q1PP1/1R4K1 b - - 1 32,-419,-1.676,
r2n2k1/2p1rp1p/b5p1/p2P2N1/P6q/N7/B2Q1PP1/1R4K1 w - - 2 33,-401,-1.604,
r2n2k1/2p1rp1p/b5p1/pN1P2N1/P6q/8/B2Q1PP1/1R4K1 b - - 3 33,-441,-1.764,
r2n2k1/2p1rp1p/6p1/pb1P2N1/P6q/8/B2Q1PP1/1R4K1 w - - 0 34,-412,-1.648,
r2n2k1/2p1rp1p/6p1/pR1P2N1/P6q/8/B2Q1PP1/6K1 b - - 0 34,-470,-1.88,
r2n2k1/2p1rp1p/6p1/pR1P2N1/q7/8/B2Q1PP1/6K1 w - - 0 35,-391,-1.564,
r2n2k1/2p1rp1p/6p1/p2P2N1/q7/1R6/B2Q1PP1/6K1 b - - 1 35,-456,-1.824,
3n2k1/2p1rp1p/r5p1/p2P2N1/q7/1R6/B2Q1PP1/6K1 w - - 2 36,-341,-1.364,
1R1n2k1/2p1rp1p/r5p1/p2P2N1/q7/8/B2Q1PP1/6K1 b - - 3 36,-387,-1.548,
1R1n2k1/2p1rp1p/3r2p1/p2P2N1/q7/8/B2Q1PP1/6K1 w - - 4 37,-382,-1.528,
R2n2k1/2p1rp1p/3r2p1/p2P2N1/q7/8/B2Q1PP1/6K1 b - - 5 37,-418,-1.672,
R2n2k1/2p1rp1p/3r2p1/p2P2N1/1q6/8/B2Q1PP1/6K1 w - - 6 38,-397,-1.588,
R2n2k1/2p1rp1p/3r2p1/p2P2N1/1Q6/8/B4PP1/6K1 b - - 0 38,-415,-1.66,
R2n2k1/2p1rp1p/3r2p1/3P2N1/1p6/8/B4PP1/6K1 w - - 0 39,-420,-1.68,
R2n2k1/2p1rp1p/3r2p1/3P2N1/1p6/5P2/B5P1/6K1 b - - 0 39,-379,-1.516,
