FEN,Evaluation,eval,
r2q1rk1/1p3p2/7p/p2Pp3/P1PR1pn1/1PN5/5PPP/R1Q3K1 w - e6 0 23,221,0.884,
r2q1rk1/1p3p2/7p/p2Pp3/P1P2pn1/1PN5/3R1PPP/R1Q3K1 b - - 1 23,187,0.748,
r4rk1/1p3p2/7p/p2Pp3/P1P2pnq/1PN5/3R1PPP/R1Q3K1 w - - 2 24,271,1.084,
r4rk1/1p3p2/7p/p2Pp3/P1P2pnq/1PN4P/3R1PP1/R1Q3K1 b - - 0 24,219,0.876,
r4rk1/1p3p2/5n1p/p2Pp3/P1P2p1q/1PN4P/3R1PP1/R1Q3K1 w - - 1 25,263,1.052,
r4rk1/1p3p2/5n1p/p2Pp3/P1P2p1q/1PN4P/3R1PP1/R3Q1K1 b - - 2 25,198,0.792,
r4rk1/1p3p2/5n1p/p2Pp1q1/P1P2p2/1PN4P/3R1PP1/R3Q1K1 w - - 3 26,303,1.212,
r4rk1/1p3p2/5n1p/p2Pp1q1/P1P1Np2/1P5P/3R1PP1/R3Q1K1 b - - 4 26,244,0.976,
r4rk1/1p3p2/7p/p2Pp1q1/P1P1np2/1P5P/3R1PP1/R3Q1K1 w - - 0 27,296,1.184,
r4rk1/1p3p2/7p/p2Pp1q1/P1P1Qp2/1P5P/3R1PP1/R5K1 b - - 0 27,266,1.064,
r4rk1/1p6/7p/p2Pppq1/P1P1Qp2/1P5P/3R1PP1/R5K1 w - - 0 28,361,1.444,
r4rk1/1p6/7p/p2PQpq1/P1P2p2/1P5P/3R1PP1/R5K1 b - - 0 28,330,1.32,
4rrk1/1p6/7p/p2PQpq1/P1P2p2/1P5P/3R1PP1/R5K1 w - - 1 29,389,1.556,
4rrk1/1p6/7p/p2PQpq1/P1P2p1P/1P6/3R1PP1/R5K1 b - - 0 29,194,0.776,
4rrk1/1p6/7p/p2PQp2/P1P2p1q/1P6/3R1PP1/R5K1 w - - 0 30,381,1.524,
4rrk1/1p6/7p/p2P1p2/P1P2p1q/1PQ5/3R1PP1/R5K1 b - - 1 30,338,1.352,
5rk1/1p6/7p/p2P1p2/P1P1rp1q/1PQ5/3R1PP1/R5K1 w - - 2 31,454,1.816,
5rk1/1p6/3P3p/p4p2/P1P1rp1q/1PQ5/3R1PP1/R5K1 b - - 0 31,406,1.624,
5rk1/1p6/3P3p/p4pq1/P1P1rp2/1PQ5/3R1PP1/R5K1 w - - 1 32,519,2.076,
5rk1/1p6/3P3p/p4pq1/P1P1rp2/1PQ2P2/3R2P1/R5K1 b - - 0 32,511,2.044,
5rk1/1p6/3P3p/p4pq1/P1P2p2/1PQ1rP2/3R2P1/R5K1 w - - 1 33,629,2.516,
5rk1/1p6/3P3p/Q4pq1/P1P2p2/1P2rP2/3R2P1/R5K1 b - - 0 33,621,2.484,
